PromedioNotaGeneral,PromedioAsistencia,AyudaFinanciera,Materia,PromedioColegio,split
5.49610294117647,0.8678947368421053,0,162,7.41,train
3.5796753246753243,0.9261538461538462,0,160,5.87,train
6.0767999999999995,0.8573913043478261,0,140,4.52,train
8.185545454545455,0.86,0,171,8.17,train
8.065666666666667,0.8848275862068966,1,167,7.97,train
3.5281818181818183,0.6388372093023256,0,146,5.82,train
8.054358974358975,0.9525,1,149,7.54,train
5.5524000000000004,0.6550666666666667,0,155,8.21,train
5.7168,0.8437142857142857,0,145,6.14,train
5.6049999999999995,0.6439215686274511,0,149,6.13,train
5.2422916666666675,0.8329310344827586,0,142,7.28,train
7.827009345794393,0.9385416666666666,0,147,6.45,train
5.3325,0.828421052631579,0,179,5.77,train
8.21752380952381,0.9293617021276596,0,168,6.31,train
5.405524475524476,0.8438596491228071,0,181,7.09,train
3.5675,0.6524,0,155,4.79,train
5.563138686131387,0.8487272727272728,0,143,5.74,train
5.254871794871795,0.6358208955223881,0,146,6.99,train
5.549459459459459,0.6544827586206897,0,140,6.28,train
5.516224489795918,0.6517808219178082,0,169,7.22,train
5.6327118644067795,0.8632,0,154,6.98,train
5.412203389830508,0.8289795918367346,0,157,5.78,train
5.3706249999999995,0.834,0,140,6.8,train
3.5759000000000003,0.8738095238095239,0,180,6.74,train
8.273827160493827,0.9620512820512821,1,186,7.21,train
5.379354838709678,0.8614583333333333,0,156,6.01,train
8.008194444444445,0.9620000000000001,1,155,8.69,train
8.194653465346535,0.9289130434782608,0,187,7.34,train
3.563090909090909,0.6810526315789474,0,184,4.67,train
8.236542056074766,0.9458333333333333,1,169,8.57,train
5.876666666666666,0.84,0,167,5.91,train
5.3229999999999995,0.8493181818181817,0,160,7.16,train
8.021527777777779,0.9620000000000001,1,175,8.69,train
5.184444444444445,0.9171428571428571,0,179,6.61,train
8.178679245283018,0.9541666666666666,1,182,7.9,train
3.7187058823529417,0.651875,0,179,3.24,train
4.37,0.62875,0,150,6.65,train
5.53616,0.8541818181818182,0,166,6.12,train
5.454558823529411,0.8538983050847458,0,144,7.18,train
5.506489361702128,0.8637837837837838,0,179,4.11,train
5.296310679611651,0.8795238095238095,0,142,6.76,train
5.71296875,0.9564583333333333,1,144,8.46,train
5.867720588235294,0.8423333333333333,0,168,7.54,train
5.621212121212121,0.6439215686274511,0,159,6.13,train
5.7521875,0.8615384615384615,0,152,8.13,train
5.318,0.8557575757575757,0,140,7.52,train
3.387661290322581,0.8591489361702128,0,184,6.8,train
5.511448275862069,0.8314516129032258,0,162,7.89,train
7.873113207547171,0.925625,0,149,7.56,train
3.514444444444445,0.6388372093023256,0,177,5.82,train
5.558951048951049,0.8488333333333333,0,181,5.7,train
5.490281690140845,0.853793103448276,0,178,6.85,train
3.3187,0.6666176470588235,0,140,4.23,train
5.414893617021277,0.8434920634920635,0,160,5.54,train
8.264811320754717,0.9516666666666667,1,149,7.58,train
3.4945000000000004,0.8573913043478261,0,150,7.02,train
3.8084374999999997,0.8319230769230769,0,150,7.96,train
8.107169811320754,0.941875,1,148,7.3,train
3.6496183206106867,0.8533333333333333,0,144,8.34,train
5.444999999999999,0.642,0,144,7.26,train
5.682627118644068,0.9537209302325581,1,167,8.41,train
3.8040178571428567,0.63765625,0,169,4.56,train
5.417708333333334,0.8574137931034482,0,155,4.0,train
3.5984105960264894,0.9261538461538462,0,187,5.87,train
8.21447619047619,0.9293617021276596,0,160,6.31,train
8.185,0.9289130434782608,0,153,7.34,train
3.5032673267326735,0.6396721311475411,0,187,4.39,train
5.6294,0.8472727272727273,0,155,6.31,train
5.499494949494949,0.6517808219178082,0,187,7.22,train
5.459272727272728,0.8740000000000001,0,150,6.26,train
5.458571428571428,0.85,0,159,8.15,train
5.63954954954955,0.8497777777777779,0,145,6.53,train
7.948679245283019,0.9572916666666668,1,162,8.96,train
3.402734375,0.6718055555555555,0,180,5.17,train
8.091714285714286,0.9383333333333334,0,183,9.0,train
5.292162162162161,0.8646666666666666,0,151,8.38,train
5.159,0.8541379310344828,0,154,6.88,train
3.255931034482759,0.8508474576271187,0,177,7.36,train
7.845873015873015,0.9293333333333333,0,171,6.95,train
7.8407207207207215,0.8678431372549019,0,171,8.5,train
5.825384615384616,0.8761224489795918,1,177,6.73,train
5.711904761904762,0.8490566037735849,0,165,7.7,train
5.436330935251799,0.856,0,160,6.95,train
5.5451937984496125,0.8390196078431372,0,185,5.79,train
5.54889705882353,0.8560377358490565,0,171,5.75,train
8.383207547169812,0.9547916666666666,1,164,8.63,train
5.455851063829788,0.8581578947368421,0,145,6.48,train
5.3727205882352935,0.8322222222222222,0,147,7.28,train
3.2584210526315793,0.64,0,177,5.59,train
3.3187,0.6666176470588235,0,140,4.23,train
5.3943076923076925,0.8741176470588234,0,152,7.36,train
5.5384375,0.8775675675675675,0,155,6.94,train
5.547388059701492,0.8509803921568627,0,174,5.33,train
5.523731343283583,0.8453448275862069,0,163,5.95,train
3.870595238095238,0.6639622641509434,0,187,4.18,train
7.858450704225351,0.9314285714285715,0,147,7.6,train
5.763308270676691,0.8948076923076923,1,165,9.03,train
5.344772727272727,0.8588888888888889,0,149,8.39,train
8.25716049382716,0.9620512820512821,1,155,7.21,train
5.6107092198581565,0.8480000000000001,0,177,6.36,train
7.765142857142858,0.8688888888888889,0,140,8.88,train
3.613913043478261,0.8391176470588235,0,184,6.98,train
5.44905109489051,0.8678947368421053,0,173,7.41,train
3.8118644067796605,0.8688888888888889,1,142,4.42,train
8.173275862068964,0.9562068965517242,1,146,8.84,train
5.718205128205128,0.8608695652173913,0,180,5.62,train
3.9049999999999994,0.6133333333333334,0,153,7.58,train
5.72244094488189,0.9564583333333333,1,173,8.46,train
3.3209150326797383,0.8375862068965517,0,169,8.03,train
5.598782608695652,0.8436538461538461,0,153,7.77,train
5.151566265060241,0.8144444444444444,0,149,7.0,train
5.271844660194175,0.847111111111111,0,160,6.35,train
8.061603773584906,0.9539583333333334,1,150,7.78,train
8.152553191489362,0.8760869565217391,1,160,6.7,train
5.862116788321168,0.8423333333333333,0,169,7.54,train
5.692913385826771,0.9125000000000001,0,142,5.79,train
8.128396226415095,0.9383333333333334,0,150,9.0,train
8.19029702970297,0.9289130434782608,0,166,7.34,train
5.268970588235294,0.8474193548387097,0,169,6.57,train
8.353523809523809,0.9633333333333334,1,181,6.99,train
5.394,0.9232142857142858,0,144,6.59,train
5.523563218390804,0.8466666666666668,0,164,5.93,train
5.516224489795918,0.6517808219178082,0,169,7.22,train
5.8494117647058825,0.8374358974358973,0,152,6.41,train
5.919666666666666,0.6735555555555556,0,187,5.1,train
5.284921875,0.8568627450980393,0,163,6.48,train
5.858217054263566,0.8847169811320755,1,171,5.94,train
7.953070175438596,0.838448275862069,0,152,7.51,train
4.799487179487179,0.85375,0,148,6.08,train
3.375333333333333,0.6018181818181818,0,168,3.34,train
5.754135338345864,0.845925925925926,0,150,6.09,train
5.877999999999999,0.678448275862069,1,187,7.24,train
8.053423423423425,0.8378181818181818,0,161,6.35,train
5.550222222222223,0.8560377358490565,0,161,5.75,train
7.940943396226415,0.9235416666666666,0,162,6.89,train
3.299081632653061,0.8419512195121952,0,179,5.96,train
5.44974358974359,0.8447540983606557,0,170,7.84,train
5.080843373493976,0.8144444444444444,0,168,7.0,train
5.488389830508474,0.8516326530612246,0,143,6.75,train
7.986699029126213,0.9348936170212766,0,154,7.7,train
8.665,0.9588235294117647,1,179,6.87,train
5.523689320388349,0.6383333333333333,0,144,5.61,train
5.131538461538461,0.8125,0,160,7.08,train
5.316800000000001,0.8682051282051282,0,164,7.17,train
8.535,0.9588235294117647,1,166,6.87,train
3.8520338983050846,0.6319565217391304,0,142,6.98,train
7.992075471698114,0.8372549019607843,0,157,7.4,train
7.956074766355141,0.9572916666666668,1,145,8.96,train
7.903047619047618,0.9320833333333334,0,183,9.38,train
7.822934782608695,0.9311627906976744,0,164,7.6,train
8.0791,0.9289130434782608,0,187,10.0,train
7.841132075471698,0.9370833333333333,0,161,6.42,train
5.412162162162162,0.8277083333333333,0,174,5.14,train
3.5764102564102562,0.670344827586207,0,159,3.69,train
5.829,0.94,0,143,8.87,train
3.9937837837837833,0.836923076923077,0,169,4.02,train
5.3696907216494845,0.8538888888888888,0,174,6.26,train
3.2463636363636366,0.6485000000000001,0,187,5.83,train
5.615378787878788,0.8543636363636364,0,146,7.7,train
5.749927536231884,0.8503389830508475,0,157,6.65,train
