PromedioNotaGeneral,PromedioAsistencia,AyudaFinanciera,NotaPromedioParcialCursada,TasaRecursaGeneral,Materia,split
7.890594059405941,0.9441304347826087,0,0.0,0.0,154,train
3.38921875,0.6596875,0,0.0,0.96875,159,train
5.215424836601308,0.9277358490566038,0,4.19,0.09433962264150944,183,train
5.713923076923076,0.8615384615384615,0,0.0,0.09615384615384616,162,train
5.689752066115703,0.9537209302325581,1,0.0,0.023255813953488372,180,train
8.263084112149533,0.94875,1,0.0,0.0,164,train
5.3208547008547,0.8595652173913043,0,5.58,0.06521739130434782,160,train
5.568677685950414,0.9251999999999999,0,0.0,0.1,187,train
8.014862385321102,0.8498,0,0.0,0.04,173,train
5.472244897959184,0.854,0,5.2,0.2,149,train
5.578387096774194,0.8436538461538461,0,0.0,0.19230769230769232,186,train
5.630454545454545,0.85,0,0.0,0.1111111111111111,144,train
5.11445945945946,0.9232142857142858,0,0.0,0.10714285714285714,180,train
5.2725,0.847111111111111,0,6.77,0.2,169,train
8.292056074766355,0.9633333333333334,1,8.41,0.0,187,train
3.22962962962963,0.67,0,1.5,0.9259259259259259,168,train
5.4805925925925925,0.8560377358490565,0,4.435,0.09433962264150944,165,train
5.413812949640287,0.8322222222222222,0,7.675,0.14814814814814814,142,train
8.40018691588785,0.9558333333333334,1,0.0,0.0,171,train
8.14392523364486,0.9575,1,6.59,0.0,165,train
8.137289719626168,0.9516666666666667,1,0.0,0.0,185,train
3.528545454545455,0.6589655172413793,0,3.13,0.8620689655172413,155,train
3.6612999999999998,0.8700000000000001,0,5.34,0.5526315789473685,140,train
5.6639285714285705,0.8497777777777779,0,5.1049999999999995,0.08888888888888889,142,train
5.285035971223022,0.6366304347826087,0,0.0,0.8260869565217391,187,train
5.426666666666667,0.8595833333333333,0,0.0,0.16666666666666666,153,train
8.28111111111111,0.9433333333333334,1,6.85,0.0,154,train
5.205608108108107,0.8526315789473684,0,5.175,0.17543859649122806,182,train
7.895607476635514,0.9439583333333333,0,0.0,0.0,141,train
7.6903703703703705,0.9202083333333334,0,7.365,0.0,183,train
5.7299224806201545,0.9564583333333333,1,0.0,0.020833333333333332,155,train
5.5302173913043475,0.8487272727272728,0,9.120000000000001,0.16363636363636364,162,train
8.243457943925234,0.9495833333333333,1,8.06,0.0,173,train
5.428639455782313,0.8544827586206897,0,6.14,0.1724137931034483,152,train
5.58875,0.842,0,0.0,0.17777777777777778,145,train
5.634397163120568,0.854561403508772,0,0.0,0.15789473684210525,152,train
5.894285714285715,0.8461224489795919,0,6.1,0.1836734693877551,164,train
5.3748322147651,0.8498275862068966,0,0.0,0.1724137931034483,175,train
5.808796992481202,0.8439285714285714,0,0.0,0.14285714285714285,178,train
7.720092592592592,0.9202083333333334,0,5.2,0.0,163,train
5.203278688524589,0.8495999999999999,0,4.79,0.2,148,train
7.878971962616823,0.925625,0,6.14,0.0,155,train
5.543712121212121,0.8595999999999999,0,2.53,0.12,169,train
7.9935514018691585,0.930625,0,5.7,0.0,170,train
8.111682242990655,0.9383333333333334,0,0.0,0.0,170,train
5.541587301587302,0.8541818181818182,0,2.6399999999999997,0.23636363636363636,176,train
5.561304347826088,0.9242553191489361,0,0.0,0.1276595744680851,185,train
5.669852941176469,0.8680769230769231,0,3.8949999999999996,0.07692307692307693,162,train
3.643409090909091,0.8444444444444444,0,3.2,0.4666666666666667,168,train
8.160280373831775,0.9249999999999999,0,0.0,0.0,175,train
3.330635838150289,0.9362903225806452,0,3.675,0.6290322580645161,141,train
5.258660714285715,0.8646666666666666,0,5.49,0.17777777777777778,159,train
8.10785046728972,0.9197916666666667,0,6.99,0.0,152,train
